hh_id,puma_group_balanced_weight
23000023,49.43976761877776
23000075,71.54228543784998
23000098,68.19943470374314
23000339,2564.426824294019
23000432,66.6176602322364
23000474,566.3508118674313
23000477,42.13618591721524
23000567,42.24079983378832
23000679,576.9727146851748
23000715,96.93329624557298
23000748,42.21773661738054
23000909,2551.7723299433023
23000954,169.18556675257886
23001049,90.41719447759168
23001295,866.124086063571
23001417,166.244621521939
23001501,42.1241948575311
23001526,37.50307754942196
23001568,37.68415984707474
23001645,14.53055033170581
23001670,66.71161698456464
23001714,983.6285762492934
23002062,100.0711790936267
23002147,161.30705564441854
23002453,2563.5654958566156
23002565,37.79466411904977
23002686,65.69284285103055
23002687,51.235793234952446
23002820,65.82635727115974
23002962,42.242608550545214
23002994,542.2132969706743
23003023,62.53759684753618
23003036,47.70365486975298
23003062,40.52026871483451
23003197,1796.9195937610818
23003252,42.09378900898618
23003294,40.383183375766315
23003323,42.10168398897226
23003660,673.997056145346
23003763,48.69018277455645
23003773,40.917656534842436
23003831,63.46173806169382
23003889,67.12462659149006
23003957,151.57510012139127
23004129,71.27670938795572
23004281,70.86891122196567
23004299,210.20534290390336
23004400,84.14757311815501
23004426,2508.971415769287
23004562,350.27744604005227
23004620,155.15269683912928
23004706,129.33449593574076
23004745,160.64049242450005
23004830,16.664636291272846
23004856,42.33440002266495
23005316,40.46009729270549
23005367,76.7012133702059
23005368,63.335447625391204
23005403,75.11885206352527
23005431,680.6778690772645
23005840,2353.7789171325344
23005929,59.47593958167001
23005993,153.59492492773435
23006238,201.19504064172884
23006417,85.43442682111989
23006435,37.51977434293769
23006585,112.55218909227692
23006679,61.648884493865985
23006943,68.58507215289917
23006955,2053.5931627658656
23006991,136.69381722537673
23007058,1285.6418598005098
23007137,206.0333144915974
23007243,184.0516571234582
23007466,115.14453606238061
23007742,60.31289050962441
23007873,94.65539360533788
23008208,41.36404992950237
23008489,297.33808356058233
23008524,221.47546238343605
23008849,51.40152150268246
23009006,73.79039718064331
23009097,120.9913490824941
23009118,47.4032394883027
23009455,97.08224938119506
23009846,22.076374632325027
23009889,3013.5705680906162
23010212,47.49563773496456
23010633,49.505896645231296
23010674,156.2713299002044
23010749,49.311791051792405
23011065,2898.83853001137
23011259,53.8878616242838
23011342,77.29686338264104
23011432,65.684357778321
